dt (in ms);qKfz(1);qLkw(1);vPkw(1);vLkw(1);vgKfz(1);b(1);tNetto(1);s(1)
1;145;223;134;66;125;39;169;16
1;4074;46;86;35;168;12;13;18
1;0;57023;199;90;4;43;220;143
1;0;0;235;139;13;13;35;176
1;24368;24368;26;74;143;93;62;230
1;59656;59656;255;164;230;81;12;68
1;27928;0;72;28;161;81;8;58
1;63943;0;71;255;159;80;42;142
1;64960;64960;174;244;71;73;56;104
1;62368;62368;255;3;106;27;4;106
1;26684;46205;121;159;32;8;73;239
1;6574;6574;193;181;213;61;249;131
1;63733;27646;0;202;209;52;87;112
1;60479;50835;229;62;13;99;206;245
1;19674;44007;0;0;53;76;141;67
1;53025;4416;62;95;119;19;253;228
1;23034;57217;16;0;89;24;91;125
1;5574;13156;96;101;173;54;65;120
1;4872;27676;106;200;108;2;0;240
1;4198;52195;23;117;2;19;61;163
1;49555;16844;163;190;43;19;60;170
1;0;43053;139;150;105;6;232;103
1;0;31584;6;162;105;97;119;191
1;100;0;120;255;183;50;109;120
1;100;0;120;255;121;49;77;59
1;534;68;244;39;64;21;204;4
1;7050;290;107;58;10;24;207;28
1;8165;82;116;5;123;34;164;34
1;9725;487;129;9;49;6;4;4
1;4663;225;32;118;32;55;101;5
1;3002;28;177;25;31;24;239;14
1;7502;184;252;26;183;1;57;30
1;3515;415;190;7;4;50;60;29
1;7757;175;26;81;37;16;64;34
1;743;128;25;91;188;4;146;11
1;1984;43;164;24;83;39;120;3
1;641;312;170;86;166;29;213;37
1;3583;217;73;38;77;60;41;37
1;4870;358;207;76;171;33;166;14
1;5112;131;45;25;182;47;24;31
1;3735;182;140;90;40;32;144;16
1;9859;306;185;36;172;58;164;44
1;407;185;185;90;16;4;195;22
1;2307;292;109;88;191;46;99;34
1;50;3;216;47;157;18;214;34
1;9261;236;156;28;55;32;22;36
1;1003;299;243;94;57;56;82;10
1;2567;491;99;82;21;12;223;5
1;7757;32;23;77;139;53;103;29
1;6796;30;86;57;98;5;228;34
1;8091;5;231;37;160;23;200;48
1;7243;440;153;4;20;30;174;16
1;851;496;211;117;12;12;196;15
1;1323;174;64;111;100;57;57;25
1;7562;79;24;104;199;40;9;47
1;6265;354;98;94;53;47;154;35
1;1737;373;13;118;4;54;197;17
1;4048;99;249;58;16;54;134;29
1;5523;395;75;46;83;4;102;48
1;7115;373;240;99;169;49;39;10
1;5552;209;11;60;154;57;238;46
1;1812;30;140;73;61;15;133;17
1;9703;422;69;6;81;15;83;48
1;6869;389;216;53;130;21;154;4
1;5288;181;252;85;166;44;252;31
1;7967;122;44;30;67;57;197;29
1;8057;403;170;15;158;36;79;20
1;2622;318;252;113;138;1;104;35
1;1780;355;81;98;37;24;81;22
1;8668;491;209;95;129;36;132;18
1;1148;304;62;95;84;50;12;23
1;595;67;113;37;35;37;212;11
1;7616;342;35;95;90;6;147;25
1;7384;55;141;16;18;40;224;4
1;9863;357;34;60;1;53;89;6
1;9256;219;99;31;120;47;79;12
1;9039;309;182;89;155;19;79;36
1;5450;320;192;72;189;5;48;23
1;5008;276;62;105;36;55;228;12
1;6750;196;129;82;40;45;93;49
1;4898;44;85;40;102;23;206;38
1;1458;492;20;97;78;13;121;49
1;380;472;120;84;32;48;74;24
1;7963;426;239;88;122;26;130;19
1;6716;35;137;118;90;46;9;24
1;7317;66;117;23;96;35;227;29
1;5845;351;228;4;184;47;133;11
1;1522;265;92;80;185;14;9;27
1;8922;248;16;22;141;14;218;7
1;3778;282;219;33;33;22;28;1
1;2005;15;148;120;60;30;74;30
1;2058;199;43;73;7;13;32;42
1;3340;87;113;68;176;5;90;43
1;3251;80;31;46;72;44;118;48
